title,url
Andrej Karpathy's YC AI SUS talk on the future of the industry,https://www.donnamagi.com/articles/karpathy-yc-talk
The unreasonable effectiveness of fuzzing for porting programs,https://rjp.io/blog/2025-06-17-unreasonable-effectiveness-of-fuzzing
Show HN: Workout.cool – Open-source fitness coaching platform,https://github.com/Snouzy/workout-cool
My iPhone 8 Refuses to Die: Now It's a Solar-Powered Vision OCR Server,https://terminalbytes.com/iphone-8-solar-powered-vision-ocr-server/
Writing documentation for AI: best practices,https://docs.kapa.ai/improving/writing-best-practices
Show HN: I built a tensor library from scratch in C++/CUDA,https://github.com/nirw4nna/dsc
Poline – An enigmatic color palette generator using polar coordinates,https://meodai.github.io/poline/
Homomorphically Encrypting CRDTs,https://jakelazaroff.com/words/homomorphically-encrypted-crdts/
Introduction to the A* Algorithm (2014),https://www.redblobgames.com/pathfinding/a-star/introduction.html
Terpstra Keyboard,http://terpstrakeyboard.com/web-app/keys.htm
"MiniMax-M1 open-weight, large-scale hybrid-attention reasoning model",https://github.com/MiniMax-AI/MiniMax-M1
Is There a Half-Life for the Success Rates of AI Agents?,https://www.tobyord.com/writing/half-life
Revisiting Minsky's Society of Mind in 2025,https://suthakamal.substack.com/p/revisiting-minskys-society-of-mind
Framework Laptop 12 review,https://arstechnica.com/gadgets/2025/06/framework-laptop-12-review-im-excited-to-see-what-the-2nd-generation-looks-like/
Attimet (YC F24) – Quant Trading Research Lab – Is Hiring Founding Engineer,https://www.ycombinator.com/companies/attimet/jobs/b1w9pjE-founding-engineer
Scrappy – Make little apps for you and your friends,https://pontus.granstrom.me/scrappy/
Locally hosting an internet-connected server,https://mjg59.dreamwidth.org/72095.html
I counted all of the yurts in Mongolia using machine learning,https://monroeclinton.com/counting-all-yurts-in-mongolia/
Spatializing 6k years of global urbanization from 3700 BC to AD 2000,https://www.nature.com/articles/sdata201634
"After millions of years, why are carnivorous plants still so small?",https://www.smithsonianmag.com/articles/carnivorous-plants-have-been-trapping-animals-for-millions-of-years-so-why-have-they-never-grown-larger-180986708/
